timestamp,candle_close_price,prior_target,new_target,trade_qty,fee_paid,position_after,cash_after,equity_after,reason
2026-08-19T23:05:00+00:00,69319.39,0.000000,1.545033,0.01436827,3.9840,0.01436827,996.0160,996.0160,INCEPTION CATCH-UP target=1.5450 (on_bar's own change-gate emitted nothing; see inception_catchup_target)
2026-08-19T23:10:00+00:00,69312.29,0.999984,0.999984,0.00000000,0.0000,0.01436827,996.0160,995.9140,target unchanged (1.0000)
2026-08-20T07:10:00+00:00,69752.62,0.999984,0.999984,0.00000000,0.0000,0.01436827,996.0160,1002.2408,target unchanged (1.0000)
2026-08-20T07:50:00+00:00,69748.67,0.999984,0.999984,0.00000000,0.0000,0.01436827,996.0160,1002.1840,target unchanged (1.0000)
2026-08-20T12:55:00+00:00,71884.28,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1032.8690,target unchanged (1.0000)
2026-08-20T16:55:00+00:00,72820.45,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1046.3202,target unchanged (1.0000)
2026-08-20T19:55:00+00:00,72634.30,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1043.6455,target unchanged (1.0000)
2026-08-20T21:50:00+00:00,72747.10,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1045.2663,target unchanged (1.0000)
2026-08-20T23:45:00+00:00,73087.10,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1050.1515,target unchanged (1.0000)
2026-08-21T01:10:00+00:00,73954.00,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1062.6073,target unchanged (1.0000)
2026-08-21T02:40:00+00:00,74681.29,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1073.0572,target unchanged (1.0000)
2026-08-21T03:30:00+00:00,74549.06,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1071.1573,target unchanged (1.0000)
2026-08-21T04:15:00+00:00,74849.50,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1075.4741,target unchanged (1.0000)
2026-08-21T05:00:00+00:00,74928.07,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1076.6031,target unchanged (1.0000)
2026-08-21T05:45:00+00:00,75238.08,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1081.0574,target unchanged (1.0000)
2026-08-21T06:40:00+00:00,75350.36,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1082.6706,target unchanged (1.0000)
2026-08-21T07:35:00+00:00,76482.77,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1098.9414,target unchanged (1.0000)
2026-08-21T08:15:00+00:00,77081.80,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1107.5484,target unchanged (1.0000)
2026-08-21T09:00:00+00:00,77847.00,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1118.5430,target unchanged (1.0000)
2026-08-21T09:45:00+00:00,78229.83,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1124.0436,target unchanged (1.0000)
2026-08-21T10:25:00+00:00,77900.06,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1119.3054,target unchanged (1.0000)
2026-08-21T10:55:00+00:00,77795.35,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1117.8009,target unchanged (1.0000)
2026-08-21T11:35:00+00:00,76961.12,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1105.8145,target unchanged (1.0000)
2026-08-21T11:55:00+00:00,76709.55,0.999985,0.999985,0.00000000,0.0000,0.01436827,996.0160,1102.1998,target unchanged (1.0000)
2026-08-21T13:05:00+00:00,77231.79,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1109.7035,target unchanged (1.0000)
2026-08-21T13:55:00+00:00,77257.51,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1110.0731,target unchanged (1.0000)
2026-08-21T14:40:00+00:00,77111.49,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1107.9750,target unchanged (1.0000)
2026-08-21T15:25:00+00:00,77595.91,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1114.9353,target unchanged (1.0000)
2026-08-21T16:00:00+00:00,77047.81,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1107.0601,target unchanged (1.0000)
2026-08-21T16:45:00+00:00,77496.56,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1113.5078,target unchanged (1.0000)
2026-08-21T17:20:00+00:00,77192.45,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1109.1383,target unchanged (1.0000)
2026-08-21T17:50:00+00:00,77326.43,0.999986,0.999986,0.00000000,0.0000,0.01436827,996.0160,1111.0633,target unchanged (1.0000)
