period,market,strategy,days,dead_tail_pct,sharpe,sharpe_lo,sharpe_hi,d_sharpe,d_sharpe_lo,d_sharpe_hi,p_sharpe_beats_hold,max_dd_pct,max_dd_lo,max_dd_hi,d_max_dd_pp,d_max_dd_lo,d_max_dd_hi,p_dd_deeper_than_hold,d_log_growth,d_log_growth_lo,d_log_growth_hi,p_growth_beats_hold
full,spot,attrition_reversion,3510,72.79202279202279,-2.101940550051006,-2.8446644540742487,-1.436883435476723,-3.075440095075919,-3.93311997141904,-2.197974026857312,0.0,99.5059466912145,94.41457593709352,99.97721466824184,16.341327025924713,3.087264461316636,39.1471700087662,0.996,-9.46755382521834,-14.545820710354304,-4.687954864728627,0.0
full,spot,buy_and_hold,3510,0.0,0.9734995450249132,0.2888706035250656,1.6597571276043022,0.0,0.0,0.0,0.0,83.16461966528979,59.3423216631279,96.21712474709253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,spot,camouflage_flow,3510,0.1424501424501424,-0.7606683369870673,-1.5433021835760508,-0.1184015102726528,-1.7341678820119806,-2.745717083125757,-0.8600015304887352,0.0005,51.747481112873096,26.92616549794912,65.80470488899698,-31.41713855241669,-57.65606282783483,-2.5464873532892165,0.014,-4.759487198722629,-9.23362809967326,-0.2862164878408866,0.018
full,spot,champions_council,3510,0.0,1.2273106400863472,0.4560012925869655,1.9395781778341763,0.2538110950614338,-0.1771982413197342,0.6798644910408591,0.8785,33.64799453166009,26.457117355127423,61.13934185608228,-49.5166251336297,-54.74262504969453,-18.97245643127966,0.0,-1.196057021963596,-4.062907833902123,1.8069319624882887,0.225
full,spot,elliott_wave,3510,0.1139601139601139,-0.6547136117283926,-1.3410975104565437,-0.035959429166631,-1.628213156753306,-2.42532151680702,-0.7930628647207332,0.0,80.2154873727949,47.93011756642503,91.62374003431906,-2.9491322924948946,-33.645781693695966,22.324858956605297,0.4275,-5.45997839286148,-9.801196789798324,-1.002913266207381,0.01
full,spot,elliott_wave_zigzag,3510,0.0,0.6645356947804851,0.0140464471613992,1.2915093111964149,-0.3089638502444282,-0.9898489142531623,0.3648696745679746,0.1905,39.40403209763176,32.94677683493191,79.64262068337278,-43.76058756765804,-50.74915921443813,2.901662287955877,0.0385,-2.542488174084909,-6.507147226764986,1.4866245197962211,0.113
full,spot,flow_regime,3510,0.2564102564102564,-0.7608545794331545,-1.5053493568464422,-0.0880955004343905,-1.7343541244580678,-2.6728501650833985,-0.8749483757602999,0.0,55.85887553826112,35.179411669720054,76.6053366834763,-27.305744127028667,-47.22139379771569,6.273419196611376,0.072,-4.963153776346934,-9.434704107211603,-0.5445949897897929,0.0175
full,spot,game_council,3510,0.4843304843304843,-2.820305388302452,-3.765592410961765,-1.97910775342953,-3.793804933327365,-4.822162222583389,-2.849062555751115,0.0,71.63420782131531,60.79164259920869,80.35467810896878,-11.530411843974475,-25.94628162603852,12.356358043773092,0.2435,-5.416042717763306,-9.969850358188156,-0.9491967822081416,0.01
full,spot,game_switch,3510,78.66096866096866,-5.004389527852611,-6.861778822578096,-3.153824443454057,-5.977889072877525,-7.951484895528944,-3.961215445965964,0.0,99.49960658567792,89.39418379674547,99.9914394470601,16.334986920388133,1.0466185895970728,39.2700039259439,0.982,-9.454762104524566,-15.376609878189516,-4.06147843420071,0.0005
full,spot,harsanyi_crowd,3510,1.0826210826210827,-1.0524132181948047,-1.7107007136166024,-0.3520616502659989,-2.025912763219718,-2.9634118282482693,-1.0181401968925166,0.0,11.241759725220549,5.324662799343686,19.05743908820869,-71.92285994006924,-85.61077117702428,-45.98541800765802,0.0,-4.27595948662354,-8.880235075402453,0.2333387075864559,0.0325
full,spot,hedge_experts,3510,0.0,0.905988550139961,0.1206742306020672,1.5828843463236226,-0.0675109948849522,-0.418837530720177,0.2924720088091094,0.323,59.10124245909173,38.99261739049352,80.028306745592,-24.063377206198066,-39.0511960775246,-3.0390491674874456,0.011,-1.571265818600596,-4.009151651659411,0.9627046619370064,0.1075
full,spot,kelly_regime,3510,0.0,1.3078523030773694,0.5432762080049434,2.017139158600878,0.3343527580524561,-0.0795134409412062,0.753136309282189,0.939,44.27752901454687,31.26020308388277,67.96319054780984,-38.88709065074293,-50.2768060714002,-12.155363320881944,0.0015,-0.417312625530033,-3.0787609851169524,2.355107726767491,0.392
full,spot,kelly_regime_ev,3510,0.0284900284900284,1.342348971089112,0.5939100988597449,2.0047519521349657,0.3688494260641988,-0.0686842541377612,0.8059508922454914,0.9455,43.17763007584558,28.076113487692407,62.59065563899418,-39.98698958944421,-55.46104527146677,-16.304076827898385,0.0,-0.4470465518915776,-3.2764571691682898,2.5843261566554383,0.391
full,spot,kelly_regime_ev_fast,3510,0.0284900284900284,1.55451202012235,0.7740023695072514,2.2440905906078847,0.5810124750974368,0.0344878277539824,1.1041079119917434,0.9815,30.296315636117576,23.832444558624243,55.35254388644688,-52.868304029172215,-62.93016756475325,-20.73490346729261,0.0,0.1068489310973772,-3.0773843068628364,3.2871161490200427,0.529
full,spot,kelly_regime_v2,3510,0.0,1.3822440287698254,0.629616021903578,2.076925039810408,0.4087444837449121,-0.0260636741734828,0.8449839923065886,0.9605,39.7800689170431,28.344168309139526,62.38448507666966,-43.38455074824669,-54.66809271459859,-15.27824118975763,0.0005,-0.3194775634551225,-3.1472672592333577,2.622706033364216,0.427
full,spot,kelly_regime_v3,3510,0.0,1.43347081887158,0.6643602301852131,2.1091881157122288,0.4599712738466666,0.0544868228475134,0.870365303053217,0.9885,46.327011343239256,29.19578090011194,63.74098915458041,-36.837608322050535,-53.43902613277245,-16.08984511487327,0.0005,0.0300225001357228,-2.5439841628446485,2.8075637342275943,0.525
